estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,cantidad_museos,pobtot,habxm,habxm2,habxm3,museo_por,fecha_calculo
7,Chiapas,61,Ocozocoautla de Espinosa,1,Ocozocoautla de Espinosa,1,39180,39180,0.392,2.552,0,04/06/2021
7,Chiapas,65,Palenque,0,,1,110918,110918,1.109,0.902,0,04/06/2021
7,Chiapas,65,Palenque,1,Palenque,1,42947,42947,0.429,2.328,0,04/06/2021
7,Chiapas,69,Pijijiapan,0,,1,50079,50079,0.501,1.997,0,04/06/2021
7,Chiapas,69,Pijijiapan,1,Pijijiapan,1,16917,16917,0.169,5.911,0,04/06/2021
7,Chiapas,78,San Cristóbal de las Casas,0,,15,185917,12394,0.124,8.068,0,04/06/2021
7,Chiapas,78,San Cristóbal de las Casas,1,San Cristóbal de las Casas,15,158027,10535,0.105,9.492,0,04/06/2021
7,Chiapas,89,Tapachula,0,,1,320451,320451,3.205,0.312,0,04/06/2021
7,Chiapas,89,Tapachula,1,Tapachula de Córdova y Ordóñez,1,202672,202672,2.027,0.493,0,04/06/2021
7,Chiapas,92,Tecpatán,0,,1,41045,41045,0.41,2.436,0,04/06/2021
7,Chiapas,92,Tecpatán,1,Tecpatán,1,4530,4530,0.045,22.075,0,04/06/2021
7,Chiapas,99,La Trinitaria,0,,3,72769,24256,0.243,4.123,0,04/06/2021
7,Chiapas,99,La Trinitaria,1,La Trinitaria,2,9042,4521,0.045,22.119,0,04/06/2021
7,Chiapas,99,La Trinitaria,51,Cristóbal Colón (Lagos de Colón),1,263,263,0.003,380.228,0,04/06/2021
7,Chiapas,101,Tuxtla Gutiérrez,0,,11,553374,50307,0.503,1.988,0,04/06/2021
7,Chiapas,101,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,10,537102,53710,0.537,1.862,0,04/06/2021
7,Chiapas,101,Tuxtla Gutiérrez,37,Copoya,1,8160,8160,0.082,12.255,0,04/06/2021
7,Chiapas,105,Unión Juárez,0,,1,14089,14089,0.141,7.098,0,04/06/2021
7,Chiapas,105,Unión Juárez,24,Santo Domingo,1,3796,3796,0.038,26.344,0,04/06/2021
7,Chiapas,109,Yajalón,0,,1,34028,34028,0.34,2.939,0,04/06/2021
7,Chiapas,109,Yajalón,1,Yajalón,1,16622,16622,0.166,6.016,0,04/06/2021
8,Chihuahua,0,,0,,52,3406465,65509,0.655,1.527,0,04/06/2021
8,Chihuahua,1,Ahumada,0,,1,11457,11457,0.115,8.728,0,04/06/2021
8,Chihuahua,1,Ahumada,20,Carrizal,1,102,102,0.001,980.392,0,04/06/2021
8,Chihuahua,3,Allende,0,,1,8409,8409,0.084,11.892,0,04/06/2021
8,Chihuahua,3,Allende,1,Valle de Ignacio Allende,1,4185,4185,0.042,23.895,0,04/06/2021
8,Chihuahua,4,Aquiles Serdán,0,,1,10688,10688,0.107,9.356,0,04/06/2021
8,Chihuahua,4,Aquiles Serdán,1,Santa Eulalia,1,7135,7135,0.071,14.015,0,04/06/2021
8,Chihuahua,9,Bocoyna,0,,1,28766,28766,0.288,3.476,0,04/06/2021
8,Chihuahua,9,Bocoyna,1,Bocoyna,1,796,796,0.008,125.628,0,04/06/2021
8,Chihuahua,13,Casas Grandes,0,,1,10587,10587,0.106,9.446,0,04/06/2021
8,Chihuahua,13,Casas Grandes,1,Casas Grandes,1,5256,5256,0.053,19.026,0,04/06/2021
8,Chihuahua,15,Coyame del Sotol,0,,1,1681,1681,0.017,59.488,0,04/06/2021
8,Chihuahua,15,Coyame del Sotol,1,Santiago de Coyame,1,709,709,0.007,141.044,0,04/06/2021
8,Chihuahua,16,La Cruz,0,,1,3982,3982,0.04,25.113,0,04/06/2021
8,Chihuahua,16,La Cruz,1,La Cruz,1,1671,1671,0.017,59.844,0,04/06/2021
8,Chihuahua,17,Cuauhtémoc,0,,2,154639,77320,0.773,1.293,0,04/06/2021
8,Chihuahua,17,Cuauhtémoc,1,Cuauhtémoc,1,114007,114007,1.14,0.877,0,04/06/2021
8,Chihuahua,17,Cuauhtémoc,88,Favela,1,80,80,0.001,1250,0,04/06/2021
8,Chihuahua,18,Cusihuiriachi,0,,1,5414,5414,0.054,18.471,0,04/06/2021
8,Chihuahua,18,Cusihuiriachi,1,Cusihuiriachi,1,63,63,0.001,1587.302,0,04/06/2021
8,Chihuahua,19,Chihuahua,0,,13,819543,63042,0.63,1.586,0,04/06/2021
8,Chihuahua,19,Chihuahua,1,Chihuahua,13,809232,62249,0.622,1.606,0,04/06/2021
8,Chihuahua,21,Delicias,0,,3,137935,45978,0.46,2.175,0,04/06/2021
8,Chihuahua,21,Delicias,1,Delicias,3,118071,39357,0.394,2.541,0,04/06/2021
8,Chihuahua,23,Galeana,0,,1,5892,5892,0.059,16.972,0,04/06/2021
8,Chihuahua,23,Galeana,1,Hermenegildo Galeana,1,926,926,0.009,107.991,0,04/06/2021
8,Chihuahua,27,Guachochi,0,,2,49689,24845,0.248,4.025,0,04/06/2021
8,Chihuahua,27,Guachochi,1,Guachochi,1,14513,14513,0.145,6.89,0,04/06/2021
8,Chihuahua,27,Guachochi,70,Rocheachi,1,685,685,0.007,145.985,0,04/06/2021
8,Chihuahua,31,Guerrero,0,,3,39626,13209,0.132,7.571,0,04/06/2021
8,Chihuahua,31,Guerrero,1,Vicente Guerrero,2,7751,3876,0.039,25.803,0,04/06/2021
8,Chihuahua,31,Guerrero,3,La Junta,1,8930,8930,0.089,11.198,0,04/06/2021
8,Chihuahua,32,Hidalgo del Parral,0,,6,107061,17844,0.178,5.604,0,04/06/2021
8,Chihuahua,32,Hidalgo del Parral,1,Hidalgo del Parral,6,104836,17473,0.175,5.723,0,04/06/2021
8,Chihuahua,37,Juárez,0,,6,1332131,222022,2.22,0.45,0,04/06/2021
8,Chihuahua,37,Juárez,1,Juárez,6,1321004,220167,2.202,0.454,0,04/06/2021
8,Chihuahua,38,Julimes,0,,1,4953,4953,0.05,20.19,0,04/06/2021
8,Chihuahua,38,Julimes,1,Julimes,1,1795,1795,0.018,55.71,0,04/06/2021
8,Chihuahua,40,Madera,0,,3,29611,9870,0.099,10.131,0,04/06/2021
8,Chihuahua,40,Madera,1,Madera,1,15447,15447,0.154,6.474,0,04/06/2021
8,Chihuahua,40,Madera,26,Nicolás Bravo,1,1862,1862,0.019,53.706,0,04/06/2021
8,Chihuahua,52,Ojinaga,0,,1,26304,26304,0.263,3.802,0,04/06/2021
8,Chihuahua,52,Ojinaga,1,Manuel Ojinaga,1,22744,22744,0.227,4.397,0,04/06/2021
8,Chihuahua,54,Riva Palacio,0,,1,8012,8012,0.08,12.481,0,04/06/2021
8,Chihuahua,54,Riva Palacio,1,San Andrés,1,662,662,0.007,151.057,0,04/06/2021
